name,gender,known_for_department,original_name,popularity
Eric Larson,2,Visual Effects,Eric Larson,47.978
Robert Middlemass,2,Acting,Robert Middlemass,47.8017
María Vaner,1,Acting,María Vaner,47.2016
Carl Wharton,2,Acting,Carl Wharton,36.3365
Victor Moore,2,Acting,Victor Moore,35.9181
Sydney Sweeney,1,Acting,Sydney Sweeney,32.9698
Omar Chaparro,2,Acting,Omar Chaparro,32.5659
Julanne Johnston,1,Acting,Julanne Johnston,31.6448
Edward Grover,2,Acting,Edward Grover,30.3934
Hannah Cheramy,1,Acting,Hannah Cheramy,29.2875
Daniella Wang,1,Acting,王李丹妮,27.7832
Linda Kerridge,1,Acting,Linda Kerridge,25.4428
Louis Wolheim,2,Acting,Louis Wolheim,22.909
Anne Hathaway,1,Acting,Anne Hathaway,22.4501
Robert Reich,2,Acting,Robert Reich,21.7553
Nadia Farès,1,Acting,Nadia Farès,21.5011
Meelis Rämmeld,2,Acting,Meelis Rämmeld,21.4186
Sonny Bupp,2,Acting,Sonny Bupp,21.1096
Charlize Theron,1,Acting,Charlize Theron,21.0443
Meenakshi Dinesh,1,Acting,Meenakshi Dinesh,20.9081
Jackie Chan,2,Acting,成龍,19.2269
Valorie Curry,1,Acting,Valorie Curry,18.36
Lily-Rose Watier,1,Acting,Lily-Rose Watier,12.5535
Yoon Yool,1,Acting,윤율,18.7482
Simon Yuen Siu-Tien,2,Acting,袁小田,18.9529
Patrick Muldoon,2,Acting,Patrick Muldoon,13.5943
Megan Fox,1,Acting,Megan Fox,17.0233
Tom Cruise,2,Acting,Tom Cruise,15.8843
Elle Fanning,1,Acting,Elle Fanning,16.534
Sharon Stone,1,Acting,Sharon Stone,12.371
Scarlett Johansson,1,Acting,Scarlett Johansson,15.0645
Luis Brandoni,2,Acting,Luis Brandoni,12.1969
Jason Statham,2,Acting,Jason Statham,14.2028
Mila Kunis,1,Acting,Mila Kunis,14.1346
Ji Chang-wook,2,Acting,지창욱,14.0532
Florence Pugh,1,Acting,Florence Pugh,13.4987
Donatella Damiani,1,Acting,Donatella Damiani,10.6064
KeiLyn Durrel Jones,2,Acting,KeiLyn Durrel Jones,13.79
Taron Egerton,2,Acting,Taron Egerton,13.9268
Hitoe Ootake,1,Acting,大竹一重,16.6854
Tom Hanks,2,Acting,Tom Hanks,12.4598
Alexandra Daddario,1,Acting,Alexandra Daddario,13.0447
Tian Xiwei,1,Acting,田曦薇,12.7952
Henry Cavill,2,Acting,Henry Cavill,12.5158
Jake Gyllenhaal,2,Acting,Jake Gyllenhaal,10.8907
Keanu Reeves,2,Acting,Keanu Reeves,12.3601
Ashley Lopez,1,Acting,Ashley Lopez,11.8555
Morena Baccarin,1,Acting,Morena Baccarin,11.7005
Trevor Dion Nicholas,2,Acting,Trevor Dion Nicholas,11.5851
Jodie Foster,1,Acting,Jodie Foster,11.5684
Anya Taylor-Joy,1,Acting,Anya Taylor-Joy,11.5499
Caleb Allred,0,Acting,Caleb Allred,11.4499
Angelina Jolie,1,Acting,Angelina Jolie,11.2495
Miguel Ríos,2,Acting,Miguel Ríos,11.1723
Shu Qi,1,Acting,舒淇,11.1687
Robby Benson,2,Acting,Robby Benson,11.0792
Tom Hardy,2,Acting,Tom Hardy,10.9967
Morgan Freeman,2,Acting,Morgan Freeman,10.4785
Matt Damon,2,Acting,Matt Damon,10.9559
Cailee Spaeny,1,Acting,Cailee Spaeny,10.8671
Ryan Gosling,2,Acting,Ryan Gosling,9.8176
Ana de Armas,1,Acting,Ana de Armas,10.6607
Monica Bellucci,1,Acting,Monica Bellucci,9.4647
Joe Anoa'i,2,Acting,Joe Anoa'i,10.4944
Choi Hyun-wook,2,Acting,최현욱,10.8331
Minami Hamabe,1,Acting,浜辺美波,10.1072
Jenna Ortega,1,Acting,Jenna Ortega,9.6513
Humberto Zurita,2,Acting,Humberto Zurita,8.1169
Jacob Elordi,2,Acting,Jacob Elordi,9.9
Karl Urban,2,Acting,Karl Urban,8.1251
Jaafar Jackson,2,Acting,Jaafar Jackson,10.2629
